2018-06-18 11:50:09,387 INFO   logging initialization
2018-06-18 11:50:20,991 INFO        代币符号:EOS, 24H涨跌幅:-3.816521, 成交量:9240107799, 全称:柚子
2018-06-18 11:50:20,991 INFO        代币符号:ETH, 24H涨跌幅:-1.65, 成交量:49799697969, 全称:以太坊
2018-06-18 11:50:20,991 INFO        代币符号:ETC, 24H涨跌幅:-2.022667, 成交量:1463647555, 全称:以太经典
2018-06-18 11:50:20,991 INFO        代币符号:EXP, 24H涨跌幅:-0.4, 成交量:8049581, 全称:Expanse
2018-06-18 11:50:20,992 INFO        代币符号:GNX, 24H涨跌幅:-2.29, 成交量:48051889, 全称:Genaro Network
2018-06-18 11:50:20,992 INFO        代币符号:HSR, 24H涨跌幅:-2.22, 成交量:239643274, 全称:红烧肉
2018-06-18 11:50:20,992 INFO        代币符号:ICX, 24H涨跌幅:-4.316484, 成交量:765564104, 全称:ICON
2018-06-18 11:50:20,992 INFO        代币符号:IOC, 24H涨跌幅:-2.09, 成交量:9586938, 全称:I/O Coin
2018-06-18 11:50:20,992 INFO        代币符号:IOST, 24H涨跌幅:-3.672339, 成交量:222400920, 全称:IOStoken
2018-06-18 11:50:20,992 INFO        代币符号:LSK, 24H涨跌幅:-6.35, 成交量:662217694, 全称:应用链
2018-06-18 11:50:20,993 INFO        代币符号:ETP, 24H涨跌幅:-1.02, 成交量:25279395, 全称:元界
2018-06-18 11:50:20,993 INFO        代币符号:MOAC, 24H涨跌幅:-0.38, 成交量:158383189, 全称:墨客
2018-06-18 11:50:20,993 INFO        代币符号:NEBL, 24H涨跌幅:0.15, 成交量:64127078, 全称:Neblio
2018-06-18 11:50:20,993 INFO        代币符号:NAS, 24H涨跌幅:-2.828746, 成交量:246992655, 全称:Nebulas
2018-06-18 11:50:20,993 INFO        代币符号:NUKO, 24H涨跌幅:-7.81, 成交量:150175, 全称:Nekonium
2018-06-18 11:50:20,993 INFO        代币符号:NEO, 24H涨跌幅:-0.806028, 成交量:2480861500, 全称:小蚁
2018-06-18 11:50:20,994 INFO        代币符号:ONT, 24H涨跌幅:-2.475899, 成交量:925647888, 全称:本体
2018-06-18 11:50:20,994 INFO        代币符号:PART, 24H涨跌幅:-7.64, 成交量:44664580, 全称:Particl
2018-06-18 11:50:20,994 INFO        代币符号:POA, 24H涨跌幅:-5.07, 成交量:45541637, 全称:POA Network
2018-06-18 11:50:20,994 INFO        代币符号:QTUM, 24H涨跌幅:-2.93, 成交量:929487854, 全称:量子链
2018-06-18 11:50:20,994 INFO        代币符号:RHOC, 24H涨跌幅:-5.28, 成交量:355821149, 全称:RChain
2018-06-18 11:50:20,994 INFO        代币符号:SHIFT, 24H涨跌幅:-4.22, 成交量:15001396, 全称:Shift
2018-06-18 11:50:20,994 INFO        代币符号:SYNX, 24H涨跌幅:-3.41, 成交量:3738827, 全称:Syndicate
2018-06-18 11:50:20,995 INFO        代币符号:TRX, 24H涨跌幅:-3.036982, 成交量:2773018656, 全称:波场
2018-06-18 11:50:20,995 INFO        代币符号:TRUE, 24H涨跌幅:-7.15, 成交量:63459655, 全称:True Chain
2018-06-18 11:50:20,995 INFO        代币符号:UBQ, 24H涨跌幅:-2.48, 成交量:37561465, 全称:Ubiq
2018-06-18 11:50:20,995 INFO        代币符号:VEN, 24H涨跌幅:0.129609, 成交量:1667162199, 全称:唯链
2018-06-18 11:50:20,995 INFO        代币符号:WAN, 24H涨跌幅:-2.33, 成交量:302953906, 全称:Wanchain
2018-06-18 11:50:20,995 INFO        代币符号:XNN, 24H涨跌幅:-7.7, 成交量:1344780, 全称:Xenon
2018-06-18 11:50:20,995 INFO        代币符号:XBY, 24H涨跌幅:-1.45, 成交量:13987857, 全称:XTRABYTES
2018-06-18 11:50:20,996 INFO        代币符号:ZIL, 24H涨跌幅:-3.658851, 成交量:634856840, 全称:Zilliqa
2018-06-18 11:50:20,996 INFO   板块名称:内容版权, 24H涨跌幅:-2.5068483931, 成交量:1426435444
2018-06-18 11:50:20,996 INFO        代币符号:ATS, 24H涨跌幅:2.87, 成交量:828596, 全称:Authorship
2018-06-18 11:50:20,996 INFO        代币符号:BTM, 24H涨跌幅:-3.041163, 成交量:556847245, 全称:比原链
2018-06-18 11:50:20,996 INFO        代币符号:CAPP, 24H涨跌幅:-2.2, 成交量:10677034, 全称:Cappasity
